Section,Title,Subtitle,Body
The Game,,Checks,"Play proceeds as players and the DM describe.
When there is uncertainty and something at stake , roll [attribute] d6s. Add or subtract dice from the pool as the situation dictates. If a character has relevant tools, they get an extra die. If they are in a hurry, they lose one.  Establish the pool size before any dice hit the table.
6s are successes. 1s are complications.
If a roll  is directly opposed, each side rolls and the side with more successes wins.
If half the dice pool is complications,  a fumble occurs."
The Game,,Saving Throws,"Saving Throws are just like every other check, except the DC is 20."
The Game,,Helping,"Anytime another player foregoes an action in order to assist you, you have Help. Help is a +2 bonus. You may only benefit from help once per roll. "
The Character,Creating a Charatcer,,- Generate attribute scores by rolling 2d6 and taking the average (round up) for each attribute.
The Character,Creating a Charatcer,,- Choose two skills. Characters with an intelligence of 3 or more gain an additional skill. all skills start at rank 1.
The Character,Creating a Charatcer,,- Starting characters are broke. Roll 2d6 for starting silver (s).
The Character,Attributes,Strength,"This is a measure of your physical strength. A higher strength helps you lift heavier objects, bend bars, and force open doors. Your roll this for attacks with most melee weapons and it impacts how much you can carry."
The Character,Attributes,Dexterity,This is a reflection of your physical agility and hand-eye coordination. Your Dexterity can affect your ability to Defend yourself and execute skills that require fine motor control or quick reactions. You roll this for attacks with most ranged weapons.
The Character,Attributes,Constitution,"This is a reflection of your  total body health and stamina. You roll health checks to resist exhaustion, diseases, and poisons, and to stay in the fight once your hit protection is gone."
The Character,Attributes,Intelligence,This is a measure of how readily you acquire and connect knowledge. The DM might occasionally ask you to roll this for extra bits of information. You have a number of Skill Slots equal to your Intelligence. A high Intelligence also helps you raise Skills more reliably.
The Character,Attributes,Wisdom,"This is a measure of your instincts and strength of spirit. Your Initiative is equal to your Wisdom. You'll roll Initiative during combat to see if you act before or after your opponent, and to resist magical and mundane effects that might fool your senses or your mind. This is also the stat for trying to hide or disappear into crowds."
The Character,Attributes,Charisma,"This is a measure of your strength of personality and connection to fate. Your Charisma is often used for saves against strange magic. You'll also make Charisma checks when trying to appeal to NPCs when the outcome of roleplaying is uncertain."
The Character,Skills,What are skills?,"Skills are keywords that represent areas of expertise that your character has developed throughout their life, whether that be a hobby, a failed career, or just something the character spent a lot of time around as a child. Each skill has a score between 1 and 3"
The Character,Skills,Using Skills,"If your character has a skill, they can do that thing without a roll as long as circumstances permit. Carpenters can make chairs. Bakers can make bread. Orators can write speeches. Additionally, whenever there is a relevant connection between a skill and a roll, the character gets a +1 bonus."
The Character,Skills,Example Skills,"Skills are lifestyles, hobbies, professions, or crafts. Good skills are things like: Scribe, Soldier, Farmer, Baker, Carpenter, Librarian, Local Street Rat, Drunk Bastard. Skills are not directly useful in combat. Be creative in how you apply skills. "
The Character,Skills,Mastering a Skill,"Upon reaching level 6 your character may attempt to master one skill. During downtime after reaching level 6, choose one skill and make an intelligence check for your character. If it succeeds they're now a master. If it fails you may make the check again at the next level. Increase the skill to rank 4. Additionally, you and the DM should work together to come up with a unique feature related to the skill to add to the character's Legend. "
The Character,Skills,Languages,"All PCs speak Vulgar Common.  None speak any other language. It is generally assumed that most everyone in the land can speak to and understand the players. Otherwise, languages are a type of skill that costs skill slots and must be acquired like all other skills. It may be the case that artifacts, spirits, foreigners, and dead folks speak other languages. That's what language skills are for."
The Character,Skills,Mastering a Language,"Most languages have special features if you Master them. For example:
Elvish – Encryption. You cannot be understood by anyone except the people you designate (who also speak Elvish).
Dwarvish – Axiomatic. Speaking it functions as a calm emotions spell cast on the self."
The Character,The Base Adventurer,,"A level zero character is nothing but a possibility, a nobody who could be somebody. After that you can think of the base adventurer as Indiana Jones minus the Archaeologist (unless the character is an archaeologist, of course) or as Conan, the Grey Mouser, Buck Rodgers or whatever appendix N hero is your personal favorite. At level 1 they're a capable adventurer, a cut above the rest. This is what your character looks like at each level without class templates."
The Character,The Base Adventurer,Levels,"A measure of your character's power and prestige. It goes up as you gain experience. At level 4 a character has access to all of their abilities, and is considered “fully grown”. Abilities a character gains beyond this point are the result of questing, not merely leveling up. If you want fireball, you'll have to quest for it."
The Character,The Base Adventurer,HP,"Hit Points are better thought of as hit protection. They represent your ability to survive blows that are potentially traumatic or lethal through luck, skill, or toughness. When your HP runs out, you've run out of luck and stamina and any blow is a potentially lethal one. Your HP cannot go below 0. However, any blow after this is potentially lethal and likely to result in a serious injury."
