Section,Title,Subtitle,Body
Magic,,What is a Spell?,"Spells are extra-dimensional creatures. Wizards use them like they're items or ammunition.

All spells are sentient. They are made up of sentience in the same way that we are made up of matter.

When isolated away from a wizard's brain, spells are also called spirits. Spells are just weaponized spirits.
"
Magic,,Where do Spirits Live?,"Spirits live all around us, in the Ethereal plane, an invisible dimension that overlaps with our own.

Sometimes, very rarely, a spirit will be bound in a book, or in a wizard's brain. This is what turns a spirit into a spell. It is the act of comprehension that traps the spirit; to understand a spirit is to cage it.

Once a spell is captured, it can be used. The wizard uses their own sentience (casting dice) to goad the spell into action. Spellcasting is not so different from tugging on the reins, or digging in with your spurs.

The number of spells that can fit in a wizard's brain (spell slots) is limited by their ability to flex their brains into mindscapes that better accommodate the spell they wish to lure into their brain-trap. It is not knowledge that achieves this, but rather visualization and self-delusion.
"
Magic,Storing Spells,Scrolls and Spellbooks,"When a wizard has too many spells that can be stored in their brains, they place the excess spells in scrolls.

Scrolls are the ammo boxes, wizard brains are the guns. Scrolls are functional identically to spellbooks. The only difference is that spellbooks occupy a single inventory slot and can hold 10 spells, while a scroll can only hold one spell, and up to three of them can be bundled into one inventory slot. Spellbooks are also protected by waterproof bags and metal covers, while scrolls can be damaged beyond usability. (Whenever you take fire or acid damage, each scroll you are carrying has a 50% chance of being destroyed.)
"
Magic,Storing Spells,Moving Spells Around,"Spells can be moved from one scroll (or spellbook) to another with an hour of work, performed by someone who has deciphered it. Wizards are assumed to be carrying the minor inks required, but blank scrolls and spellbooks must be purchased separately. (And in a pinch, any method of writing will suffice: blood, feces, scratches, pinhole patterns, braided knots, and teacup arrangement codes can all be used to store a spell).

Remember that spells cannot be copied, merely moved.

A wizard can move a spell into his brain via memorization. (This is not actual memorization; it's more like luring a spell into your head by disguising your thoughts.) One hour of study allows a wizard to swap around any number of spells between his brain and scrolls. You can leave blank spots, if you wish. A scroll must be understood before it can be memorized.

If a wizard dies while spells are still stored in his brain, the spells remain. They do not return to the now-blank scrolls.

It is possible to learn spells from a dead wizard. It involves bisecting the wizard's skull and balancing it atop a golden needle. The memorization of spells causes the brain to carve grooves on the inside of the skull, and the skull now moves over these grooves like an Ouija board. With a compass, water clock, and brain almanac, these movements can be deciphered. This device is called a cerebreus (sarah- BRAY-us), and it is part of a wizarding laboratory.
"
Magic,Casting Spells,The Magic System in a Nutshell,"You get one spell slot per level that can hold a single spell. You prepare these in the morning.

You get one casting die per level that can be used to cast a spell. These are refreshed by a good night's sleep.

You cast by investing your casting dice in a spell and then rolling them. The more dice, the stronger the spell. Each die that you invest has a 50% chance of being refunded back into your casting pool.
"
Magic,Casting Spells,Spell Slots,"A wizard uses their spell slots to memorize their spells. A wizard has one spell slot for each level of caster that they possess, up to a maximum of four spell slots at level 4. If you have a spell in one of your spell slots, you can cast it spontaneously."
Magic,Casting Spells,Casting Pool,"Each level of a spellcasting Class gives you a magic die (MD), up to a maximum of four magic dice at level 4. So a level 5 wizard would have 4 spell slots (each holding one spell) and 4 magic dice."
Magic,Casting Spells,Casting a Spell from a Scroll,"It's usually a good idea to identify a scroll before you try to cast it.

If a scroll is unidentified, anyone can cast from it with a successful INT check. If they fail this INT check, the spell fizzles (it is wasted) and you make another INT check. If you fail this second INT check, you suffer a Mishap. The mishap is from your own Mishap list if you are a spellcaster, or from the Orthodox Wizard Mishap List if you are not a spellcaster.

If you successfully cast a spell without knowing what it does, the DM will ask you “what are you casting it on?”. She will consider the requirements of the spell (range, eligible targets, etc.) and attempt to interpret your target choice as best as possible.

Once a scroll has been identified, anyone who understands it can cast it safely. It's even possible for a wizard to identify a scroll, show the party's INT 7 fighter how to cast the spell, and then watch the fighter cast the scroll successfully.

If you successfully cast a spell from a scroll, the scroll is destroyed by the casting. However, this destruction invests one free casting die into the spell. (This is how the fighter can cast a spell, even without having any casting dice of his own.)

If you have additional casting dice of your own, you can add them on top of the free casting die the scroll provided. Roll the dice together, since Mishaps and Dooms are still possible, but make sure that your casting dice are a different color than the scroll's casting dice, since your invested dice are refunded if they show 1-3, while the scroll's die is always spent.

Example: a level 2 wizard has two casting dice, and then casts fireball from a scroll. As the scroll crumbles to ashes in her hands, she decides to invest both of her casting dice, in order to make the spell as powerful as possible. The scroll's casting die comes up 3, while her dice up as 3 and 6. The fireball does 12 damage (3 + 3 + 6) and she suffers the effects of a Mishap. She is refunded one of her invested dice, since it rolled a 3 or less, while the die that rolled a 6 is exhausted until tomorrow.

It is possible to memorize a spell from a scroll, exactly as if from a spellbook. If the scroll is destroyed while the spell is still in your head, you cannot cast the spell without losing it permanently (since the spell has no home to go back to). You'll need to scribe it onto a new scroll, in a process that takes an hour.
"
Magic,Casting Spells,Casting a Spell from Memory,"Step 1: Pick one of the spells you have memorized.
Step 2: Choose how many casting dice you want to invest in the spell, and remove them from your casting pool.
Step 3: Roll the invested dice. The spell is cast.
Step 4: Dice that show a result of 1-3 are returned to your casting pool. Every die that comes up 4-6 is exhausted.

You have a number of casting dice equal to the number of levels you have in casting Classes. Each casting die is a d6. When you want to cast a spell, pick a prepared spell, choose how many casting dice you want to invest in it, and then roll those dice. Every casting die that comes up 1-3 returns to your casting dice pool. Every die that comes up 4-6 is exhausted, and only returns to your casting dice pool after a good night's sleep. Once your casting dice pool is empty, you cannot cast any more spells that day.

The more casting dice you roll, the more powerful the spell. Some spells have an effect based on the total number of dice you roll (listed as [dice] in spell descriptions) while others have an effect based on the sum of those dice (listed as [sum] in spell descriptions). For example, the damage that a fireball spell does is equal to the sum of your casting dice. [sum] = sum of casting dice. For other spells, it is only the sum of the dice that matters. For example, knock opens one portal for every casting die invested. [dice] = number of casting dice.

However, the more casting dice you roll, the greater the chance for mishaps and doom.

If you roll doubles on your casting dice, you have incurred a mishap—a small negative magical effect that spilled out of the Ether due to the spell's contortions. If you roll triples, you have incurred a Doom: a creeping threat that will eventually destroy you.
"
Magic,Casting Spells,Mishaps,"When you suffer a Mishap, look up your school of magic and roll on the Mishap table. Most of them aren't too bad. A mishap takes effect immediately."
